Department,Block,Classroom,Day,Slot,Subject,Faculty
CIVIL,AB1,W309,Monday,S8.00am - 8.50am,,
CIVIL,AB1,W309,Monday,S8.50am - 9.40am,23CIE304,
CIVIL,AB1,W309,Monday,S9.40 am - 10.30am,23CIE301,
CIVIL,AB1,W309,Monday,S10.30 am - 10.45am,,
CIVIL,AB1,W309,Monday,S10.45am - 11.35pm,23CIE302,
CIVIL,AB1,W309,Monday,S11.35pm - 12.25pm,23CIE305,
CIVIL,AB1,W309,Monday,S12.25pm - 01.15pm,,
CIVIL,AB1,W309,Monday,S1.15pm - 2.05pm,23CIE381,
CIVIL,AB1,W309,Monday,S2.05pm - 2.55pm,23CIE381,
CIVIL,AB1,W309,Monday,S2.55pm - 3.45pm,23CIE381,
CIVIL,AB1,W309,Monday,S3.45 pm - 4.35pm,,
CIVIL,AB1,W309,Monday,S4.35pm- 5.25pm,,
CIVIL,AB1,W309,Monday,S5.25pm- 6.15pm,,
CIVIL,AB1,W309,Tuesday,S8.00am - 8.50am,,
CIVIL,AB1,W309,Tuesday,S8.50am - 9.40am,23CIE301,
CIVIL,AB1,W309,Tuesday,S9.40 am - 10.30am,,
CIVIL,AB1,W309,Tuesday,S10.30 am - 10.45am,Break,
CIVIL,AB1,W309,Tuesday,S10.45am - 11.35pm,23CIE303,
CIVIL,AB1,W309,Tuesday,S11.35pm - 12.25pm,23CIE302,
CIVIL,AB1,W309,Tuesday,S12.25pm - 01.15pm,,
CIVIL,AB1,W309,Tuesday,S1.15pm - 2.05pm,23CIE382/23CIE306,
CIVIL,AB1,W309,Tuesday,S2.05pm - 2.55pm,23CIE382/23CIE306,
CIVIL,AB1,W309,Tuesday,S2.55pm - 3.45pm,23CIE382/23CIE306,
CIVIL,AB1,W309,Tuesday,S3.45 pm - 4.35pm,,
CIVIL,AB1,W309,Tuesday,S4.35pm- 5.25pm,,
CIVIL,AB1,W309,Tuesday,S5.25pm- 6.15pm,,
CIVIL,AB1,W309,Wednesday,S8.00am - 8.50am,,
CIVIL,AB1,W309,Wednesday,S8.50am - 9.40am,23CIE303,
CIVIL,AB1,W309,Wednesday,S9.40 am - 10.30am,23CIE304,
CIVIL,AB1,W309,Wednesday,S10.30 am - 10.45am,,
CIVIL,AB1,W309,Wednesday,S10.45am - 11.35pm,23CIE305,
CIVIL,AB1,W309,Wednesday,S11.35pm - 12.25pm,,
CIVIL,AB1,W309,Wednesday,S12.25pm - 01.15pm,,
CIVIL,AB1,W309,Wednesday,S1.15pm - 2.05pm,,
