Department,Block,Classroom,Day,Slot,Subject,Faculty
chem3,AB1,D205,Monday,S8.00am - 8.50am,,
chem3,AB1,D205,Monday,S8.50am - 9.40am,,
chem3,AB1,D205,Monday,S9.40am - 10.30am, 22CHY521,Statistical and Irreversible ThermodynamicsDr P Thilagavathy,
chem3,AB1,D205,Monday,S10.30am - 10.45am,break,
chem3,AB1,D205,Monday,S10.45am - 11.35am, 22CHY522,Physical Methods in ChemistryDr  D Gangadhara,
chem3,AB1,D205,Monday,S11.35am - 12.25pm,22CHY524,Frontiers in Organic ChemistryDr N Pandurangan,
chem3,AB1,D205,Monday,S12.25pm - 1.15pm,,
chem3,AB1,D205,Monday,S1.15pm - 2.05pm,,
chem3,AB1,D205,Monday,S2.05pm - 2.55pm, 22CHY523,Organometallic ChemistryDr R Yamuna,
chem3,AB1,D205,Monday,S2.55pm - 3.45pm,,
chem3,AB1,D205,Monday,S3.45pm - 4.35pm,22CHY548, Sustainable Chemical Sciences
chem3,AB1,D205,Tuesday,S8.00am - 8.50am,,
chem3,AB1,D205,Tuesday,S8.50am - 9.40am, 22CHY523,Organometallic Chemistry Dr R Yamuna,
chem3,AB1,D205,Tuesday,S9.40am - 10.30am,,
chem3,AB1,D205,Tuesday,S10.30am - 10.45am,break,
chem3,AB1,D205,Tuesday,S10.45am - 11.35am, 22CHY521,Statistical and Irreversible ThermodynamicsDr P Thilagavathy,
chem3,AB1,D205,Tuesday,S11.35am - 12.25pm, 22CHY522,Physical Methods in ChemistryDr  D Gangadharan ,
chem3,AB1,D205,Tuesday,S12.25pm - 1.15pm,,
chem3,AB1,D205,Tuesday,S1.15pm - 2.05pm,,
chem3,AB1,E210,Tuesday,S2.05pm - 2.55pm,22CHY524,Frontiers in Organic ChemistryDr N Pandurangan,
chem3,AB1,D205,Tuesday,S2.55pm - 3.45pm, 22CHY533,  Dr T G Sathish Babu Dr Prasanana R 
chem3,AB1,E210,Tuesday,S3.45pm - 4.35pm, 22CHY544, Industrial Electrochemistry Dr P V Suneesh 
chem3,AB1,D205,Wednesday,S8.00am - 8.50am, ,
chem3,AB1,D205,Wednesday,S8.50am - 9.40am,2CHY522,Physical Methods in ChemistryDr  D Prasanna,,
chem3,AB1,D205,Wednesday,S9.40am - 10.30am, 22CHY523,Organometallic ChemistryDr R Yamuna,
chem3,AB1,D205,Wednesday,S10.30am - 10.45am,Break,
chem3,AB1,D205,Wednesday,S10.45am - 11.35am,,
chem3,AB1,D205,Wednesday,S11.35am - 12.25pm,,
chem3,AB1,D205,Wednesday,S12.25pm - 1.15pm, 22CHY524,Frontiers in Organic ChemistryDr N Pandurangan,
chem3,AB1,D205,Wednesday,S1.15pm - 2.05pm,,
chem3,AB1,D205,Wednesday,S2.05pm - 2.55pm,,
chem3,AB1,D205,Wednesday,S2.55pm - 3.45pm,,
chem3,AB1,D205,Wednesday,S3.45pm - 4.35pm,,
chem3,AB1,D205,Thursday,S8.00am - 8.50am, 22CHY585,Advanced inorganic Lab Dr D Gangadharan,
chem3,AB1,D205,Thursday,S8.50am - 9.40am, 22CHY585,Advanced inorganic LabDr D Gangadharan,
chem3,AB1,E301,Thursday,S9.40am - 10.30am, 22CHY585,Advanced inorganic lab Dr D Gangadharan,
chem3,AB1,D205,Thursday,S10.30am - 10.45am,break,
chem3,AB1,D205,Thursday,S10.45am - 11.35am,22CHY585,Advanced inorganic Lab Dr D Gangadharan,
chem3,AB1,D205,Thursday,S11.35am - 12.25pm,22CHY585,Advanced inorganic Lab Dr D Gangadharan,
chem3,AB1,E210,Thursday,S12.25pm - 1.15pm,22CHY585,Advanced inorganic Lab Dr D Gangadharan,
chem3,AB1,D205,Thursday,S1.15pm - 2.05pm,,
chem3,AB1,D205,Thursday,S2.05pm - 2.55pm, 22CHY524,Frontiers in Organic Chemistry Dr N Pandurangan,
chem3,AB1,D205,Thursday,S2.55pm - 3.45pm,22CHY533,Chemical Biology Dr T G Sathish Babu
chem3,AB1,D205,Thursday,S3.45pm - 4.35pm,22CHY544,Industrial Electrochemistry  Dr P V Suneesh
chem3,AB1,D205,Friday,S8.00am - 8.50am,,
chem3,AB1,D205,Friday,S8.50am - 9.40am,22CHY522,Physical Methods in Chemistry Dr  R Prasanna
chem3,AB1,D205,Friday,S9.40am - 10.30am, 22CHY521,Statistical and Irreversible Thermodynamics Dr P Thilagavathy,
chem3,AB1,D205,Friday,S10.30am - 10.45am,break
chem3,AB1,D205,Friday,S10.45am - 11.35am,,
chem3,AB1,D205,Friday,S11.35am - 12.25pm,,
chem3,AB1,D205,Friday,S12.25pm - 1.15pm,,
chem3,AB1,D205,Friday,S1.15pm - 2.05pm,,
chem3,AB1,D205,Friday,S2.05pm - 2.55pm, 22CHY523,Organometallic ChemistryDr R Yamuna,
chem3,AB1,D205,Friday,S2.55pm - 3.45pm,22CHY533, Chemical Biology Dr T G Sathish Babu
chem3,AB1,D205,Friday,S3.45pm - 4.35pm, 22CHY544,Industrial Electrochemistry  Dr P V Suneesh
