Department,Block,Classroom,Day,Slot,Subject,Faculty
MECH,AB1,E201,Monday,S8.00am - 8.50am,,
MECH,AB1,E201,Monday,S8.50am - 9.40am,23MEE302,Mr.Gayathry
MECH,AB1,E201,Monday,S9.40am - 10.30am,PE1,
MECH,AB1,E201,Monday,S10.30am - 10.45am,Break,
MECH,AB1,E201,Monday,S10.45am - 11.35am,23MEE303,
MECH,AB1,E201,Monday,S11.35am - 12.25pm,23MEE383,
MECH,AB1,E201,Monday,S12.25pm - 1.15pm,,
MECH,AB1,E201,Monday,S1.15pm - 2.05pm,,
MECH,AB1,E201,Monday,S2.05pm - 2.55pm,,
MECH,AB1,E201,Monday,S2.55pm - 3.45pm,23MEE301,
MECH,AB1,E201,Monday,S3.45pm - 4.35pm,,
MECH,AB1,E201,Monday,S4.35pm - 5.25pm,Mentoring,
MECH,AB1,E201,Monday,S5.25pm - 6.15pm,,
MECH,AB1,E201,Tuesday,S8.00am - 8.50am,,
MECH,AB1,E201,Tuesday,S8.50am - 9.40am,23MEE305,
MECH,AB1,E201,Tuesday,S9.40am - 10.30am,,
MECH,AB1,E201,Tuesday,S10.30am - 10.45am,Break,
MECH,AB1,E201,Tuesday,S10.45am - 11.35am,,
MECH,AB1,E201,Tuesday,S11.35am - 12.25pm,23MEE301,
MECH,AB1,E201,Tuesday,S12.25pm - 1.15pm,23MEE303,
MECH,AB1,E201,Tuesday,S1.15pm - 2.05pm,,
MECH,AB1,E210,Tuesday,S2.05pm - 2.55pm,23LSE301,
MECH,AB1,E201,Tuesday,S2.55pm - 3.45pm,23MEE302,
MECH,AB1,E210,Tuesday,S3.45pm - 4.35pm,23LSE301,
MECH,AB1,E201,Tuesday,S4.35pm - 5.25pm,,
MECH,AB1,E201,Tuesday,S5.25pm - 6.15pm,,
MECH,AB1,E201,Wednesday,S8.00am - 8.50am,,
MECH,AB1,E201,Wednesday,S8.50am - 9.40am,23MEE305,
MECH,AB1,E201,Wednesday,S9.40am - 10.30am,,
MECH,AB1,E201,Wednesday,S10.30am - 10.45am,Break,
MECH,AB1,E201,Wednesday,S10.45am - 11.35am,23MEE302,
MECH,AB1,E201,Wednesday,S11.35am - 12.25pm,23MEE301,
MECH,AB1,E201,Wednesday,S12.25pm - 1.15pm,23MEE304,
MECH,AB1,E201,Wednesday,S1.15pm - 2.05pm,,
MECH,AB1,E201,Wednesday,S2.05pm - 2.55pm,23MEE383,
MECH,AB1,E201,Wednesday,S2.55pm - 3.45pm,,
MECH,AB1,E201,Wednesday,S3.45pm - 4.35pm,,
MECH,AB1,E201,Wednesday,S4.35pm - 5.25pm,,
MECH,AB1,E201,Wednesday,S5.25pm - 6.15pm,,
MECH,AB1,E201,Thursday,S8.00am - 8.50am,,
MECH,AB1,E201,Thursday,S8.50am - 9.40am,PE1,
MECH,AB1,E301,Thursday,S9.40am - 10.30am,23MEE304,
MECH,AB1,E201,Thursday,S10.30am - 10.45am,Break,
MECH,AB1,E201,Thursday,S10.45am - 11.35am,,
MECH,AB1,E201,Thursday,S11.35am - 12.25pm,,
MECH,AB1,E210,Thursday,S12.25pm - 1.15pm,23MEE303,
MECH,AB1,E201,Thursday,S1.15pm - 2.05pm,,
MECH,AB1,E201,Thursday,S2.05pm - 2.55pm,23MEE381/23MEE382,
MECH,AB1,E201,Thursday,S2.55pm - 3.45pm,,
MECH,AB1,E201,Thursday,S3.45pm - 4.35pm,,
MECH,AB1,E201,Thursday,S4.35pm - 5.25pm,,
MECH,AB1,E201,Thursday,S5.25pm - 6.15pm,,
MECH,AB1,E201,Friday,S8.00am - 8.50am,,
MECH,AB1,E201,Friday,S8.50am - 9.40am,,
MECH,AB1,E201,Friday,S9.40am - 10.30am,PE1,
MECH,AB1,E201,Friday,S10.30am - 10.45am,Break,
MECH,AB1,E201,Friday,S10.45am - 11.35am,23MEE381/23MEE382,
MECH,AB1,E201,Friday,S11.35am - 12.25pm,,
MECH,AB1,E201,Friday,S12.25pm - 1.15pm,,
MECH,AB1,E201,Friday,S1.15pm - 2.05pm,,
MECH,AB1,E201,Friday,S2.05pm - 2.55pm,,
MECH,AB1,E201,Friday,S2.55pm - 3.45pm,23LSE301,
MECH,AB1,E201,Friday,S3.45pm - 4.35pm,23MEE304,
MECH,AB1,E201,Friday,S4.35pm - 5.25pm,,
MECH,AB1,E201,Friday,S5.25pm - 6.15pm,,
