Department,Block,Classroom,Day,Slot,Subject,Faculty
PHYA3,AB1,C109,Monday,S8.00am - 8.50am,,
PHYA3,AB1,C109,Monday,S8.50am - 9.40am,,
PHYA3,AB1,C109,Monday,S9.40am - 10.30am,22 Phy201, Wave Optics  Dr AK Nandakumar,
PHYA3,AB1,C109,Monday,S10.30am - 10.45am,break,
PHYA3,AB1,C109,Monday,S10.45am - 11.35am, 22PHY202 ,Introduction to mathematical Physics Dr. Saravana Veni,
PHYA3,AB1,C109,Monday,S11.35am - 12.25pm, 21ENV300,Environmental Science and Sustainability Dr. V. S. Ramachandra,
PHYA3,AB1,C109,Monday,S12.25pm - 1.15pm,,
PHYA3,AB1,C109,Monday,S1.15pm - 2.05pm,,
PHYA3,AB1,C109,Monday,S2.05pm - 2.55pm, 22CHY204 ,Physical Organic Chemistry Dr. K. Elango ,
PHYA3,AB1,C109,Monday,S2.55pm - 3.45pm,,
PHYA3,AB1,C109,Monday,S3.45pm - 4.35pm,,
PHYA3,AB1,C109,Tuesday,S8.00am - 8.50am,,
PHYA3,AB1,C109,Tuesday,S8.50am - 9.40am, 22 Phy201, Wave Optics  Dr AK Nandakumar,
PHYA3,AB1,C109,Tuesday,S9.40am - 10.30am, 22 ADM211, Leadership from RamayanaMr. M S Karthick ,
PHYA3,AB1,C109,Tuesday,S10.30am - 10.45am,break,
PHYA3,AB1,C109,Tuesday,S10.45am - 11.35am, 22PHY202 ,Introduction to mathematical Physics Dr. Saravana Ven,
PHYA3,AB1,C109,Tuesday,S11.35am - 12.25pm,21ENV300,Environmental Science and Sustainability Dr. V. S. Ramachandran  ,
PHYA3,AB1,C109,Tuesday,S12.25pm - 1.15pm, 22CHY204,Physical Organic Chemistry Dr. K. Elango,
PHYA3,AB1,C109,Tuesday,S1.15pm - 2.05pm, ,
PHYA3,AB1,C109,Tuesday,S2.05pm - 2.55pm,,
PHYA3,AB1,C109,Tuesday,S2.55pm - 3.45pm,II PHY & CHE ,(CIR)AB1 C109,,
PHYA3,AB1,C109,Tuesday,S3.45pm - 4.35pm,,
PHYA3,chemlab,C109,Wednesday,S8.00am - 8.50am,22CHY283 Chemistry Lab II Dr PV Suneesh,
PHYA3,chemlab,C109,Wednesday,S8.50am - 9.40am,22CHY283 Chemistry Lab II Dr PV Suneesh,
PHYA3,chemlab,C109,Wednesday,S9.40am - 10.30am,22CHY283 Chemistry Lab II Dr PV Suneesh,
PHYA3,AB1,C109,Wednesday,S10.30am - 10.45am,Break,
PHYA3,AB1,C109,Wednesday,S10.45am - 11.35am, 22PHY202 ,Introduction to mathematical Physics Dr. Saravana Veni ,
PHYA3,AB1,C109,Wednesday,S11.35am - 12.25pm,21ENV300,Environmental Science and Sustainability Dr. V. S. Ramachandran,
PHYA3,AB1,C109,Wednesday,S12.25pm - 1.15pm,22CHY204, Physical Organic Chemistry Dr. K. Elango,
PHYA3,AB1,C109,Wednesday,S1.15pm - 2.05pm,,
PHYA3,AB1,C109,Wednesday,S2.05pm - 2.55pm, 22 Phy201 ,Wave Optics  Dr AK Nandakumar,
PHYA3,AB1,C109,Wednesday,S2.55pm - 3.45pm,,
PHYA3,AB1,C109,Wednesday,S3.45pm - 4.35pm,,
PHYA3,AB1,C109,Thursday,S8.00am - 8.50am,,
PHYA3,AB1,C109,Thursday,S8.50am - 9.40am, 22PHY202, Introduction to mathematical Physics Dr. Saravana Veni
PHYA3,AB1,E301,Thursday,S9.40am - 10.30am,22Phy201, Wave Optics  Dr AK Nandakuma
PHYA3,AB1,C109,Thursday,S10.30am - 10.45am,break,
PHYA3,proglab,C109,Thursday,S10.45am - 11.35am, 22CSA281, Programming Lab I (Dr. Lakshmi Mohan)
PHYA3,proglab,C109,Thursday,S11.35am - 12.25pm,22CSA281, Programming Lab I (Dr. Lakshmi Mohan)
PHYA3,proglab,C109,Thursday,S12.25pm - 1.15pm,22CSA281, Programming Lab I (Dr. Lakshmi Mohan)
PHYA3,AB1,C109,Thursday,S1.15pm - 2.05pm,,
PHYA3,AB1,C109,Thursday,S2.05pm - 2.55pm, 22CHY204 ,Physical Organic Chemistry Dr. K. Elango ,
PHYA3,AB1,C109,Thursday,S2.55pm - 3.45pm, II PHY & CHE  (CIR),
PHYA3,AB1,C109,Thursday,S3.45pm - 4.35pm,,
PHYA3,AB1,C109,Friday,S8.00am - 8.50am,,
PHYA3,AB1,C109,Friday,S8.50am - 9.40am,II PHY & CHE  (CIR),
PHYA3,AB1,C109,Friday,S9.40am - 10.30am,,
PHYA3,AB1,C109,Friday,S10.30am - 10.45am,break
PHYA3,AB1,C109,Friday,S10.45am - 11.35am,,
PHYA3,AB1,C109,Friday,S11.35am - 12.25pm,,
PHYA3,AB1,C109,Friday,S12.25pm - 1.15pm,,
PHYA3,AB1,C109,Friday,S1.15pm - 2.05pm,,
PHYA3,phylab,C109,Friday,S2.05pm - 2.55pm, 22PHY281,Physics Lab -II Optics,
PHYA3,phylab,C109,Friday,S2.55pm - 3.45pm, 22PHY281, Physics Lab -II Optics,
PHYA3,phylab,C109,Friday,S3.45pm - 4.35pm, 22PHY281, Physics Lab -II Optics,
