Department,Block,Classroom,Day,Slot,Subject,Faculty
DATA SCIENCE,AB1,E403,Monday,S8.50am - 9.40am,22MAT225,
DATA SCIENCE,AB1,E403,Monday,S9.40am - 10.30am,22CSC202,
DATA SCIENCE,AB1,E403,Monday,S10.30am - 10.45am,,
DATA SCIENCE,AB1,E403,Monday,S10.45am - 11.35am,22CSC201,
DATA SCIENCE,AB1,E403,Monday,S11.35am - 12.25pm,22MAT224,
DATA SCIENCE,AB1,E403,Monday,S12.25pm - 01.15pm,22MAT226,
DATA SCIENCE,AB1,E403,Monday,S1.15pm - 2.05pm,22MAT226,
DATA SCIENCE,AB1,E403,Monday,S2.05pm - 2.55pm,,
DATA SCIENCE,AB1,E403,Monday,S2.55pm - 3.45pm,,
DATA SCIENCE,AB1,E403,Monday,S3.45pm - 4.35pm,,
DATA SCIENCE,AB1,E403,Tuesday,S8.50am - 9.40am,22CSC201,
DATA SCIENCE,AB1,E403,Tuesday,S9.40am - 10.30am,22MAT225,
DATA SCIENCE,AB1,E403,Tuesday,S10.30am - 10.45am,,
DATA SCIENCE,AB1,E403,Tuesday,S10.45am - 11.35am,Mentor hour,
DATA SCIENCE,AB1,E403,Tuesday,S11.35am - 12.25pm,,
DATA SCIENCE,AB1,E403,Tuesday,S12.25pm - 01.15pm,,
DATA SCIENCE,AB1,E403,Tuesday,S1.15pm - 2.05pm,,
DATA SCIENCE,AB1,E403,Tuesday,S2.05pm - 2.55pm,,
DATA SCIENCE,AB1,E403,Tuesday,S2.55pm - 3.45pm,,
DATA SCIENCE,AB1,E403,Tuesday,S3.45pm - 4.35pm,,
DATA SCIENCE,AB1,E403,Wednesday,S8.50am - 9.40am,22MAT226,
DATA SCIENCE,AB1,E403,Wednesday,S9.40am - 10.30am,22MAT225,
DATA SCIENCE,AB1,E403,Wednesday,S10.30am - 10.45am,,
DATA SCIENCE,AB1,E403,Wednesday,S10.45am - 11.35am,22CSC201,
DATA SCIENCE,AB1,E403,Wednesday,S11.35am - 12.25pm,22MAT224,
DATA SCIENCE,AB1,E403,Wednesday,S12.25pm - 01.15pm,CIR(SS),
DATA SCIENCE,AB1,E403,Wednesday,S1.15pm - 2.05pm,22CSC202,
DATA SCIENCE,AB1,E403,Wednesday,S2.05pm - 2.55pm,,
DATA SCIENCE,AB1,E403,Wednesday,S2.55pm - 3.45pm,,
DATA SCIENCE,AB1,E403,Wednesday,S3.45pm - 4.35pm,,
DATA SCIENCE,AB1,E403,Thursday,S8.50am - 9.40am,22MAT224,
DATA SCIENCE,AB1,E403,Thursday,S9.40am - 10.30am,22MAT225,
DATA SCIENCE,AB1,E403,Thursday,S10.30am - 10.45am,,
DATA SCIENCE,AB1,E403,Thursday,S10.45am - 11.35am,22ADM211,
DATA SCIENCE,AB1,E403,Thursday,S11.35am - 12.25pm,22MAT226,
DATA SCIENCE,AB1,E403,Thursday,S12.25pm - 01.15pm,22CSC202,
DATA SCIENCE,AB1,E403,Thursday,S1.15pm - 2.05pm,22CSC201,
DATA SCIENCE,AB1,E403,Thursday,S2.05pm - 2.55pm,,
DATA SCIENCE,AB1,E403,Thursday,S2.55pm - 3.45pm,,
DATA SCIENCE,AB1,E403,Thursday,S3.45pm - 4.35pm,,
DATA SCIENCE,AB1,E403,Friday,S8.50am - 9.40am,CIR(VER),
DATA SCIENCE,AB1,E403,Friday,S9.40am - 10.30am,22MAT224,
DATA SCIENCE,AB1,E403,Friday,S10.30am - 10.45am,,
DATA SCIENCE,AB1,E403,Friday,S10.45am - 11.35am,CIR(APT),
DATA SCIENCE,AB1,E403,Friday,S11.35am - 12.25pm,,
DATA SCIENCE,AB1,E403,Friday,S12.25pm - 01.15pm,,
DATA SCIENCE,AB1,E403,Friday,S1.15pm - 2.05pm,,
DATA SCIENCE,AB1,E403,Friday,S2.05pm - 2.55pm,,
DATA SCIENCE,AB1,E403,Friday,S2.55pm - 3.45pm,,
DATA SCIENCE,AB1,E403,Friday,S3.45pm - 4.35pm,,
