Department,Block,Classroom,Day,Slot,Subject,Faculty
EEE,AB2,C207,Monday,S8.00am - 8.50am,,
EEE,AB2,C207,Monday,S8.50am - 9.40am,23EEE202,
EEE,AB2,C207,Monday,S9.40am - 10.30am,23MAT224,
EEE,AB2,C207,Monday,S10.30am - 10.45am,Break,
EEE,AB2,C207,Monday,S10.45am - 11.35am,,
EEE,AB2,C207,Monday,S11.35am - 12.25pm,23EEE204,
EEE,AB2,C207,Monday,S12.25pm - 1.15pm,23MEE206,
EEE,AB2,C207,Monday,S1.15pm - 2.05pm,,
EEE,AB2,D101,Monday,S2.05pm - 2.55pm,23EEE205,
EEE,AB2,C207,Monday,S2.55pm - 3.45pm,23EEE205,
EEE,AB2,C207,Monday,S3.45pm - 4.35pm,23EEE205,
EEE,AB2,C207,Monday,S4.35pm - 5.25pm,,
EEE,AB2,C207,Monday,S5.25pm - 6.15pm,,
EEE,AB2,D403,Tuesday,S8.00am - 8.50am,,
EEE,AB2,D403,Tuesday,S8.50am - 9.40am,,
EEE,AB2,D403,Tuesday,S9.40am - 10.30am,23EEE203,
EEE,AB2,D403,Tuesday,S10.30am - 10.45am,Break,
EEE,AB2,C205,Tuesday,S10.45am - 11.35am,23MAT224,
EEE,AB2,C205,Tuesday,S11.35am - 12.25pm,23EEE204,
EEE,AB2,C205,Tuesday,S12.25pm - 1.15pm,23EEE201,
EEE,AB2,C205,Tuesday,S1.15pm - 2.05pm,,
EEE,AB2,EE&D lab,Tuesday,S2.05pm - 2.55pm,23EEE281,
EEE,AB2,EE&D lab,Tuesday,S2.55pm - 3.45pm,23EEE281,
EEE,AB2,EE&D lab,Tuesday,S3.45pm - 4.35pm,23EEE281,
EEE,AB2,C205,Tuesday,S4.35pm - 5.25pm,,
EEE,AB2,C205,Tuesday,S5.25pm - 6.15pm,,
EEE,AB2,C205,Wednesday,S8.00am - 8.50am,,
EEE,AB2,C205,Wednesday,S8.50am - 9.40am,23EEE201,
EEE,AB2,C205,Wednesday,S9.40am - 10.30am,23EEE201,
EEE,AB2,C205,Wednesday,S10.30am - 10.45am,Break,
EEE,AB2,C205,Wednesday,S10.45am - 11.35am,,
EEE,AB2,C205,Wednesday,S11.35am - 12.25pm,23MAT224,
EEE,AB2,C205,Wednesday,S12.25pm - 1.15pm,23EEE202,
EEE,AB2,C205,Wednesday,S1.15pm - 2.05pm,,
EEE,AB2,EE&D lab,Wednesday,S2.05pm - 2.55pm,23EEE281,
EEE,AB2,EE&D lab,Wednesday,S2.55pm - 3.45pm,23EEE281,
EEE,AB2,EE&D lab,Wednesday,S3.45pm - 4.35pm,23EEE281,
EEE,AB2,C205,Wednesday,S4.35pm - 5.25pm,,
EEE,AB2,C205,Wednesday,S5.25pm - 6.15pm,,
EEE,AB2,D403,Thursday,S8.00am - 8.50am,,
EEE,AB2,D403,Thursday,S8.50am - 9.40am,,
EEE,AB2,D403,Thursday,S9.40am - 10.30am,23EEE204,
EEE,AB2,D403,Thursday,S10.30am - 10.45am,Break,
EEE,AB2,B201,Thursday,S10.45am - 11.35am,22ADM101,
EEE,AB2,B201,Thursday,S11.35am - 12.25pm,23EEE201,
EEE,AB2,B201,Thursday,S12.25pm - 1.15pm,23EEE206,
EEE,AB2,B201,Thursday,S1.15pm - 2.05pm,,
EEE,AB2,C205,Thursday,S2.05pm - 2.55pm,23EEE203,
EEE,AB2,C205,Thursday,S2.55pm - 3.45pm,23EEE203,
EEE,AB2,C205,Thursday,S3.45pm - 4.35pm,,
EEE,AB2,C205,Thursday,S4.35pm - 5.25pm,,
EEE,AB2,C205,Thursday,S5.25pm - 6.15pm,,
EEE,AB2,B201,Friday,S8.00am - 8.50am,,
EEE,AB2,B201,Friday,S8.50am - 9.40am,,
EEE,AB2,B201,Friday,S9.40am - 10.30am,23MEE206,
EEE,AB2,B201,Friday,S10.30am - 10.45am,Break,
EEE,AB2,C205,Friday,S10.45am - 11.35am,23EEE203,
EEE,AB2,C205,Friday,S11.35am - 12.25pm,,
EEE,AB2,C205,Friday,S12.25pm - 1.15pm,23MAT224,
EEE,AB2,C205,Friday,S1.15pm - 2.05pm,,
EEE,AB2,C205,Friday,S2.05pm - 2.55pm,23LSE201,
EEE,AB2,C205,Friday,S2.55pm - 3.45pm,23LSE201,
EEE,AB2,C205,Friday,S3.45pm - 4.35pm,23LSE201,
EEE,AB2,C205,Friday,S4.35pm - 5.25pm,,
EEE,AB2,C205,Friday,S5.25pm - 6.15pm,,
